t,vx,vy,v,x,y
0,10.2606043,28.19077862,30,0,0
0.05,10.10669524,27.26791694,29.08065651,0.509182488,1.386467389
0.1,9.959740569,26.37143248,28.18951726,1.010843383,2.727451125
0.15,9.81936043,25.49973351,27.3250114,1.505320908,4.024230274
0.2,9.685203362,24.65134325,26.48569214,1.992935003,5.278007193
0.25,9.556943705,23.82488931,25.6702264,2.47398868,6.489913007
0.3,9.43427925,23.01909416,24.87738573,2.948769254,7.661012594
0.35,9.316929148,22.23276671,24.10603834,3.417549464,8.792309116
0.4,9.204632023,21.46479475,23.35514214,3.880588493,9.884748152
0.45,9.097144278,20.71413808,22.62373865,4.338132901,10.93922147
0.5,8.994238571,19.97982246,21.91094779,4.790417472,11.95657049
0.55,8.895702425,19.26093404,21.21596337,5.237665997,12.9375894
0.6,8.801336976,18.5566144,20.53804934,5.680091982,13.88302811
0.65,8.71095583,17.86605607,19.8765367,6.117899302,14.79359487
0.7,8.624384013,17.18849841,19.23082102,6.551282798,15.66995873
0.75,8.541457021,16.52322394,18.60036068,6.980428824,16.51275179
0.8,8.46201993,15.86955498,17.9846756,7.405515747,17.32257127
0.85,8.385926588,15.22685058,17.38334673,7.82671441,18.0999814
0.9,8.313038853,14.59450377,16.79601605,8.244188546,18.84551526
0.95,8.243225886,13.97193901,16.22238739,8.658095165,19.55967633
1,8.176363485,13.35860991,15.66222776,9.068584899,20.24294006
1.05,8.112333451,12.75399711,15.11536954,9.475802323,20.89575523
1.1,8.051022992,12.15760642,14.58171338,9.879886234,21.51854532
1.15,7.992324137,11.56896705,14.06123195,10.28096991,22.11170966
1.2,7.936133175,10.98763009,13.5539745,10.67918134,22.67562459
1.25,7.882350102,10.41316706,13.06007241,11.07464343,23.21064451
1.3,7.830878071,9.845168703,12.57974555,11.46747413,23.71710291
1.35,7.781622844,9.283243845,12.11330964,11.85778665,24.19531322
1.4,7.73449224,8.727018441,11.66118438,12.24568953,24.64556978
1.45,7.68939557,8.176134756,11.22390234,12.63128673,25.06814861
1.5,7.646243058,7.630250687,10.80211824,13.01467769,25.46330825
1.55,7.604945247,7.089039252,10.39661819,13.3959574,25.83129049
1.6,7.565412391,6.552188234,10.0083283,13.77521634,26.17232118
1.65,7.527553825,6.019400009,9.63832159,14.1525405,26.48661089
1.7,7.491277333,5.490391552,9.287821891,14.52801127,26.77435568
1.75,7.456488508,4.964894663,8.958202939,14.90170542,27.03573783
1.8,7.42309014,4.442656396,8.650980469,15.27369489,27.27092661
1.85,7.390981636,3.923439729,8.367794742,15.64404668,27.48007901
1.9,7.360058527,3.40702446,8.110380829,16.01282269,27.66334062
1.95,7.330212088,2.893208327,7.880524328,16.38007945,27.82084644
2,7.301329131,2.381808328,7.680001171,16.74586798,27.95272185
2.05,7.273292023,1.872662182,7.510502014,17.11023351,28.05908361
2.1,7.245978986,1.365629866,7.373544358,17.47321529,28.14004092
2.15,7.219264712,0.8605951,7.270378732,17.83484638,28.19569654
2.2,7.193021318,0.357466674,7.201898229,18.19515353,28.22614808
2.25,7.167119614,-0.143820546,7.168562472,18.55415705,28.23148924
2.3,7.141430642,-0.643305052,7.170346784,18.91187081,28.2118111
2.35,7.115827375,-1.140998692,7.206724446,19.26830226,28.1672035
2.4,7.090186471,-1.636887261,7.276684966,19.6234526,28.09775635
2.45,7.064389944,-2.130931704,7.378785484,19.97731702,28.00356088
2.5,7.038326635,-2.62306986,7.511227418,20.32988493,27.88471084
2.55,7.011893399,-3.113218623,7.671947552,20.68114043,27.74130363
2.6,6.98499596,-3.601276398,7.858712379,21.03106266,27.57344125
2.65,6.957549423,-4.087125701,8.06920631,21.3796263,27.3812312
2.7,6.929478472,-4.57063577,8.30110735,21.726802,27.16478716
2.75,6.9007173,-5.051665101,8.552147072,22.07255689,26.92422964
2.8,6.871209325,-5.53006381,8.820154382,22.41685506,26.65968642
2.85,6.840906762,-6.005675801,9.103084486,22.75965796,26.37129293
2.9,6.809770086,-6.478340714,9.399035431,23.10092488,26.05919252
2.95,6.77776745,-6.947895637,9.706254963,23.44061332,25.72353661
3,6.744874081,-7.414176614,10.02314029,23.77867936,25.3644848
3.05,6.711071671,-7.877019948,10.348233,24.115078,24.98220489
3.1,6.676347805,-8.336263329,10.68021097,24.44976349,24.57687281
3.15,6.640695403,-8.791746804,11.01787853,24.78268957,24.14867255
3.2,6.604112216,-9.243313604,11.36015601,25.11380976,23.69779604
3.25,6.566600343,-9.690810862,11.70606916,25.44307757,23.22444293
3.3,6.528165804,-10.13409021,12.05473903,25.77044673,22.7288204
3.35,6.488818137,-10.5730083,12.40537244,26.09587132,22.21114294
3.4,6.448570034,-11.00742725,12.75725324,26.41930603,21.67163205
3.45,6.407437013,-11.43721498,13.10973439,26.7407062,21.110516
3.5,6.365437115,-11.86224556,13.46223085,27.06002806,20.52802948
3.55,6.322590623,-12.28239941,13.81421324,27.37722875,19.92441336
3.6,6.278919815,-12.69756357,14.16520225,27.69226651,19.29991428
3.65,6.234448731,-13.10763179,14.51476359,28.00510073,18.6547844
3.7,6.189202956,-13.51250471,14.86250371,28.31569202,17.98928099
3.75,6.14320943,-13.91208988,15.20806585,28.62400233,17.30366612
3.8,6.096496263,-14.30630189,15.55112666,28.92999497,16.59820633
3.85,6.04909257,-14.69506233,15.8913932,29.23363469,15.87317222
3.9,6.001028316,-15.07829983,16.22860026,29.53488771,15.12883817
3.95,5.952334171,-15.45594998,16.56250802,29.83372178,14.36548192
4,5.90304138,-15.82795533,16.89289991,30.13010616,13.58338429
4.05,5.853181636,-16.1942653,17.21958082,30.42401174,12.78282878
4.1,5.802786969,-16.55483607,17.54237537,30.71541095,11.96410124
4.15,5.751889636,-16.90963049,17.86112644,31.00427787,11.12748958
4.2,5.700522022,-17.25861797,18.17569381,31.29058816,10.27328337
4.25,5.64871655,-17.60177429,18.48595296,31.57431913,9.40177356
4.3,5.596505596,-17.9390815,18.79179396,31.85544968,8.513252165
4.35,5.543921406,-18.27052774,19.09312045,32.13396035,7.608011934
4.4,5.490996026,-18.59610705,19.38984875,32.40983329,6.686346064
4.45,5.437761235,-18.9158192,19.681907,32.68305222,5.748547908
4.5,5.38424848,-19.2296695,19.96923436,32.95360246,4.79491069
4.55,5.33048882,-19.53766861,20.25178031,33.2214709,3.825727237
4.6,5.276512876,-19.83983233,20.52950401,33.48664594,2.841289714
4.65,5.222350779,-20.13618137,20.80237361,33.74911753,1.841889372
4.7,5.168032133,-20.42674118,21.07036572,34.0088771,0.827816308